C6, yields NNS  on IN  money-market JJ mutual JJ funds NNS  continued VBD to TO slide VB   amid IN  signs NNS  that IN  portfolio NN managers NNS  expect VBP  further JJ declines NNS  in IN  interest NN rates NNS    
C6, longer JJR maturities NNS  are VBP thought VBN to TO indicate VB  declining VBG interest NN rates NNS  because IN  they PP  permit VBP  portfolio NN managers NNS  to TO retain VB relatively RB  higher JJR rates NNS  for IN  a DT longer JJR period NN    
C6,nevertheless RB   said VBD  brenda NP malizia NP negus NP     editor NN  of IN  money NP fund NP report NP    yields NNS   may MD  blip VB  up RP again RB before IN  they PP   blip VBP  down RP   because IN of IN  recent JJ rises NNS  in IN  short-term JJ interest NN rates NNS    
C5, jp NP bolduc NP     vice NN chairman NN  of IN  wr NP grace NP  & CC  co NP     which WDT  holds VBZ  a DT 834 AB % NN interest NN  in IN  this DT energy-services JJ company NN    was VBD elected VBN  a DT director NN    
C5,  finmeccanica NP  is VBZ  an DT italian JJ state-owned JJ holding VBG company NN  with IN  interests NNS  in IN  the DT mechanical JJ engineering NN industry NN    
C6, in IN  august NP     the DT commission NN  ruled VBD that IN between IN  $ $ 190 AB million AB  and CC  $ $ 195 AB million AB  of IN  the DT plant NN s POS construction NN cost NN  was VBD unreasonable JJ and CC should MD be VB refunded VBN   plus CC  interest NN    
C6, last JJ month NN     judge NP curry NP  set VBD  the DT interest NN rate NN  on IN  the DT refund NN  at IN  9 AB % NN    
C4,  gary NP hoffman NP     a DT washington NP lawyer NN  specializing VBG in IN  intellectual-property JJ cases NNS    said VBD  the DT threat NN  of IN  us NP retaliation NN    combined VBN with IN  a DT growing VBG recognition NN  that IN protecting VBG  intellectual JJ property NN  is VBZ in IN  a DT country NN s POS own JJ interest NN    prompted VBD  the DT improvements NNS  made VBN by IN  south NP korea NP     taiwan NP  and CC  saudi NP arabia NP    
C6,  mr NP rapanelli NP  recently RB has VBZ said VBD  the DT government NN  of IN  president NP carlos NP menem NP     who WP  took VBD  office NN july NP 8 AB    feels VBZ  a DT significant JJ reduction NN  of IN  principal NN  and CC  interest NN  is VBZ  the DT only JJ way NN   the DT debt NN problem NN  may MD be VB solved VBN   
C5, that DT stake NN    together RB with IN  its PP$ convertible JJ  preferred VBN  stock NN holdings NNS    gives VBZ  faulding NP   the DT right NN  to TO increase VB  its PP$ interest NN  to TO  70 AB % NN  of IN  moleculon NP s POS voting NN stock NN    
