C6,VB IN NNS IN NN NNS VBP JJ NNS IN NNS VOID VOID VOID VOID VOID VOID VOID VOID VOID
C6,VOID VOID VOID JJR NNS VBP VBN TO VB VBG NNS IN PP VBP NN NNS TO VB RB JJR
C6,IN PP VBP RP IN IN JJ NNS IN JJ NNS VOID VOID VOID VOID VOID VOID VOID VOID VOID
C5,IN NP NP CC NP WDT VBZ DT AB NN IN DT JJ NN VBD VBN DT NN VOID VOID
C5,VOID VOID NP VBZ DT JJ JJ VBG NN IN DT JJ NN NN VOID VOID VOID VOID VOID
C6,POS NN NN VBD JJ CC MD VB VBN CC VOID VOID VOID VOID VOID VOID VOID VOID VOID VOID
C6,VOID VOID VOID VOID JJ NN NP NP VBD DT NN IN DT NN IN AB NN VOID VOID VOID
C4,IN VBG JJ NN VBZ IN DT NN POS JJ VBD DT NNS VBN IN NP NP NP CC NP
C6,NN NP AB VBZ DT JJ NN IN NN CC VBZ DT JJ NN DT NN NN MD VB VBN
C5,VBN NN NNS VBZ NP DT NN TO VB PP$ TO AB NN IN NP POS NN NN VOID VOID
C1,VOID VOID VOID VOID VOID DT NNS VBP DT JJ IN JJ NNS IN NP JJ NNS NP NP POS
C6,NN IN NN JJ NNS MD VB VBN RB IN NNS VBP CC JJ NN VBZ NNS TO VB PP$
C6,VOID VOID VOID IN DT JJ NN DT NN IN NNS IN DT NN VBZ VBN TO VB DT JJ
C6,NN IN DT NP NP NP VBD DT NN IN NNS RB MD VB NN IN JJ NNS CC RB
C6,$ AB NN NN IN NNS IN NN CC VBN TO DT NN IN NN VOID VOID VOID VOID VOID
C6,IN IN DT NNS CC VBG DT JJ NN IN NNS DT NN VBZ TO VB JJ NNS IN AB
C1,VOID VOID DT NN VBZ RB VBN IN JJ JJ IN JJ NN VOID VOID VOID VOID VOID VOID VOID
C6,NNS IN NP VBP IN DT NN IN JJR NP NNS VBZ VBN NN VBG IN JJ NNS VOID VOID
C1,VOID VOID VOID VOID VOID DT NN RB VBD JJ IN JJ NN IN DT VBG NP NN CC NNS
C6,VBP VBG NN IN DT NP NP TO VB JJ NNS CC PP VBZ RB JJ IN DT JJ NN
C6,VOID VOID VOID DT NP VBD DT JJ JJ NNS NN IN RB AB NN NN TO AB NN IN
C6,JJ NN IN PP$ NN NN RB VBG IN JJR NNS TO DT NN NP NP NP NP VBD IN
C3,VBP IN PP VBZ RB JJ IN DT JJ NN DT NP VOID VOID VOID VOID VOID VOID VOID
C1,VOID VOID VOID VOID VOID VOID VOID VOID JJ JJ IN JJ JJ NN VBZ DT NN IN NNS VBG
C5,NP DT NP NP NN IN NP NP VBD VBG IN DT NN NN IN DT JJ NN IN NP
C1,NN IN NP NP NP NP PP VBP DT JJ IN VBG NNS RB IN JJ NNS VOID VOID VOID
C5,VBZ AB NP NNS IN WDT PP VBZ AB NN CC JJR CC DT NN NN VBZ TO VB DT
C6,DT NN NNS VBP VBN IN NNS RB IN DT NNS PP VBP IN PP$ NNS CC VB IN PP$
C6,NP AB AB VOID DT JJ NP CC JJ JJ NNS IN VBP DT NN TO JJ NNS CC VBP
C6,VBD PP VBD RB VB DT $ AB AB JJ NN JJ NN IN $ AB AB IN JJ VBN
C6,DT NP NP NP NP VBD JJ DT NN IN NN NN NNS CC NNS NNS IN DT NP NN
C6,RB JJ IN AB NN IN DT NN NN IN NN NN NNS VOID VOID VOID VOID VOID VOID VOID
